Date,Home Team,Away Team,Result,Overtime,Season
11/12/2005 09:00,Los Angeles Clippers,Detroit Pistons,101 - 109,,2005-2006
11/12/2005 09:00,Portland Trail Blazers,Houston Rockets,86 - 100,,2005-2006
11/12/2005 09:00,Sacramento Kings,New Orleans/Oklahoma City Hornets,110 - 100,,2005-2006
12/12/2005 07:00,Philadelphia 76ers,Minnesota Timberwolves,90 - 89,OT,2005-2006
12/12/2005 07:30,New York Knicks,Milwaukee Bucks,92 - 112,,2005-2006
12/12/2005 08:30,Dallas Mavericks,Los Angeles Lakers,106 - 109,,2005-2006
12/12/2005 09:00,Phoenix Suns,New Orleans/Oklahoma City Hornets,87 - 91,,2005-2006
12/12/2005 09:00,Utah Jazz,Detroit Pistons,92 - 78,,2005-2006
13/12/2005 07:00,Cleveland Cavaliers,Atlanta Hawks,94 - 100,,2005-2006
13/12/2005 07:00,Washington Wizards,New Jersey Nets,94 - 74,,2005-2006
13/12/2005 07:30,Charlotte Bobcats,Denver Nuggets,85 - 101,,2005-2006
13/12/2005 08:00,Minnesota Timberwolves,Sacramento Kings,91 - 93,,2005-2006
13/12/2005 08:30,Chicago Bulls,Miami Heat,97 - 100,,2005-2006
13/12/2005 08:30,San Antonio Spurs,Los Angeles Clippers,95 - 87,OT,2005-2006
13/12/2005 10:00,Seattle SuperSonics,Golden State Warriors,107 - 110,OT,2005-2006
14/12/2005 07:00,Philadelphia 76ers,Atlanta Hawks,106 - 101,,2005-2006
14/12/2005 07:00,Toronto Raptors,Chicago Bulls,94 - 105,,2005-2006
14/12/2005 07:30,Boston Celtics,Indiana Pacers,85 - 71,,2005-2006
14/12/2005 07:30,Detroit Pistons,Sacramento Kings,109 - 98,,2005-2006
14/12/2005 07:30,New Jersey Nets,Charlotte Bobcats,83 - 91,,2005-2006
14/12/2005 07:30,New York Knicks,Orlando Magic,90 - 105,,2005-2006
14/12/2005 08:00,Dallas Mavericks,Phoenix Suns,102 - 96,,2005-2006
14/12/2005 08:00,Memphis Grizzlies,Los Angeles Lakers,79 - 94,,2005-2006
14/12/2005 08:00,Milwaukee Bucks,Miami Heat,83 - 100,,2005-2006
